date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2009-12-01,15036,551,358,18,740
2009-12-08,15036,173,616,18,740
2009-12-15,15036,116,793,18,740
2009-12-22,15036,617,177,18,740
2009-12-29,15036,616,177,18,740
2010-01-05,15036,781,0,18,740
2010-01-12,15036,592,308,18,740
2010-01-19,15036,517,308,18,740
2010-01-26,15036,743,0,18,740
2010-02-02,15036,690,183,18,740
2010-02-09,15036,616,183,18,740
2010-02-16,15036,657,182,18,740
2010-02-23,15036,513,372,18,740
2010-03-02,15036,277,572,18,740
2010-03-09,15036,581,200,18,740
2010-03-16,15036,410,400,18,740
2010-03-23,15036,0,909,18,740
2010-03-30,15036,17,892,18,740
2010-04-06,15036,695,183,18,740
2010-04-13,15036,477,432,18,740
2010-04-20,15036,503,249,18,740
2010-04-27,15036,0,909,18,740
2010-05-04,15036,125,660,18,740
2010-05-11,15036,84,716,18,740
2010-05-18,15036,22,850,18,740
2010-05-25,15036,0,909,18,740
2010-06-01,15036,589,308,18,740
2010-06-08,15036,0,909,18,740
2010-06-15,15036,0,806,18,740
2010-06-22,15036,81,727,18,740
2010-06-29,15036,100,704,18,740
2010-07-06,15036,0,909,18,740
2010-07-13,15036,0,909,18,740
2010-07-20,15036,18,855,18,740
2010-07-27,15036,191,664,18,740
2010-08-03,15036,384,473,18,740
2010-08-10,15036,590,178,18,740
2010-08-17,15036,522,375,18,740
2010-08-24,15036,700,197,18,740
2010-08-31,15036,854,0,18,740
2010-09-07,15036,851,0,18,740
2010-09-14,15036,850,0,18,740
2010-09-21,15036,829,0,18,740
2010-09-28,15036,819,0,18,740
2010-10-05,15036,804,0,18,740
2010-10-12,15036,156,705,18,740
2010-10-19,15036,0,898,18,740
2010-10-26,15036,0,898,18,740
2010-11-02,15036,868,0,18,740
2010-11-09,15036,633,210,18,740
2010-11-16,15036,260,649,18,740
2010-11-23,15036,351,439,18,740
2010-11-30,15036,0,909,18,740
2010-12-07,15036,408,470,18,740
2010-12-14,15036,845,0,18,740
2010-12-21,15036,796,0,18,740
2010-12-28,15036,796,0,18,740
2011-01-04,15036,796,0,18,740
2011-01-11,15036,747,0,18,740
2011-01-18,15036,604,287,18,740
2011-01-25,15036,529,287,18,740
2011-02-01,15036,70,803,18,740
2011-02-08,15036,0,803,18,740
2011-02-15,15036,0,803,18,740
2011-02-22,15036,742,0,18,740
2011-03-01,15036,584,187,18,740
2011-03-08,15036,498,362,18,740
2011-03-15,15036,353,532,18,740
2011-03-22,15036,124,734,18,740
2011-03-29,15036,429,377,18,740
2011-04-05,15036,371,532,18,740
2011-04-12,15036,206,703,18,740
2011-04-19,15036,287,622,18,740
2011-04-26,15036,0,909,18,740
2011-05-03,15036,132,777,18,740
2011-05-10,15036,0,909,18,740
2011-05-17,15036,0,909,18,740
2011-05-24,15036,0,909,18,740
2011-05-31,15036,287,532,18,740
2011-06-07,15036,248,661,18,740
2011-06-14,15036,82,664,18,740
2011-06-21,15036,157,626,18,740
2011-06-28,15036,411,386,18,740
2011-07-05,15036,0,909,18,740
2011-07-12,15036,19,890,18,740
2011-07-19,15036,159,719,18,740
2011-07-26,15036,357,538,18,740
2011-08-02,15036,132,717,18,740
2011-08-09,15036,156,733,18,740
2011-08-16,15036,437,460,18,740
2011-08-23,15036,557,268,18,740
2011-08-30,15036,696,213,18,740
2011-09-06,15036,584,213,18,740
2011-09-13,15036,341,468,18,740
2011-09-20,15036,518,255,18,740
2011-09-27,15036,702,181,18,740
2011-10-04,15036,0,909,18,740
2011-10-11,15036,103,728,18,740
2011-10-18,15036,0,909,18,740
2011-10-25,15036,699,181,18,740
2011-11-01,15036,757,0,18,740
2011-11-08,15036,716,179,18,740
2011-11-15,15036,588,179,18,740
2011-11-22,15036,667,203,18,740
2011-11-29,15036,370,439,18,740
2011-12-06,15036,511,236,18,740
2009-12-01,15056BL,2171,1114,18,2607
2009-12-08,15056BL,1010,1994,18,2607
2009-12-15,15056BL,47,3013,18,2607
2009-12-22,15056BL,1994,1019,18,2607
2009-12-29,15056BL,3013,0,18,2607
2010-01-05,15056BL,3012,0,18,2607
2010-01-12,15056BL,2085,883,18,2607
2010-01-19,15056BL,1966,883,18,2607
2010-01-26,15056BL,2795,0,18,2607
2010-02-02,15056BL,2776,0,18,2607
2010-02-09,15056BL,2759,0,18,2607
2010-02-16,15056BL,2735,0,18,2607
2010-02-23,15056BL,2703,0,18,2607
2010-03-02,15056BL,2424,709,18,2607
2010-03-09,15056BL,2375,709,18,2607
2010-03-16,15056BL,3002,0,18,2607
2010-03-23,15056BL,2984,0,18,2607
2010-03-30,15056BL,2957,0,18,2607
2010-04-06,15056BL,2934,0,18,2607
2010-04-13,15056BL,2847,0,18,2607
2010-04-20,15056BL,2818,0,18,2607
2010-04-27,15056BL,2812,0,18,2607
2010-05-04,15056BL,2797,0,18,2607
2010-05-11,15056BL,2785,0,18,2607
2010-05-18,15056BL,2711,0,18,2607
2010-05-25,15056BL,2685,0,18,2607
2010-06-01,15056BL,2683,0,18,2607
2010-06-08,15056BL,2548,733,18,2607
2010-06-15,15056BL,2499,733,18,2607
2010-06-22,15056BL,2487,733,18,2607
2010-06-29,15056BL,3214,0,18,2607
2010-07-06,15056BL,3020,0,18,2607
2010-07-13,15056BL,3016,0,18,2607
2010-07-20,15056BL,2911,0,18,2607
2010-07-27,15056BL,2885,0,18,2607
2010-08-03,15056BL,2815,0,18,2607
2010-08-10,15056BL,2792,0,18,2607
2010-08-17,15056BL,2678,0,18,2607
2010-08-24,15056BL,2549,691,18,2607
2010-08-31,15056BL,2375,691,18,2607
2010-09-07,15056BL,2982,0,18,2607
2010-09-14,15056BL,2959,0,18,2607
2010-09-21,15056BL,2834,0,18,2607
2010-09-28,15056BL,2703,0,18,2607
2010-10-05,15056BL,2641,0,18,2607
2010-10-12,15056BL,2590,679,18,2607
2010-10-19,15056BL,2132,679,18,2607
2010-10-26,15056BL,2699,0,18,2607
2010-11-02,15056BL,2649,0,18,2607
2010-11-09,15056BL,2505,716,18,2607
2010-11-16,15056BL,2435,716,18,2607
2010-11-23,15056BL,3063,0,18,2607
2010-11-30,15056BL,2925,0,18,2607
2010-12-07,15056BL,2837,0,18,2607
2010-12-14,15056BL,2800,0,18,2607
2010-12-21,15056BL,2721,0,18,2607
2010-12-28,15056BL,2720,0,18,2607
2011-01-04,15056BL,2716,0,18,2607
2011-01-11,15056BL,2625,0,18,2607
2011-01-18,15056BL,2600,679,18,2607
2011-01-25,15056BL,2531,679,18,2607
2011-02-01,15056BL,2473,679,18,2607
2011-02-08,15056BL,3130,0,18,2607
2011-02-15,15056BL,3118,0,18,2607
2011-02-22,15056BL,3110,0,18,2607
2011-03-01,15056BL,3080,0,18,2607
2011-03-08,15056BL,3069,0,18,2607
2011-03-15,15056BL,3062,0,18,2607
2011-03-22,15056BL,2975,0,18,2607
2011-03-29,15056BL,2955,0,18,2607
2011-04-05,15056BL,2954,0,18,2607
2011-04-12,15056BL,2945,0,18,2607
2011-04-19,15056BL,2906,0,18,2607
2011-04-26,15056BL,2901,0,18,2607
2011-05-03,15056BL,2858,0,18,2607
2011-05-10,15056BL,2763,0,18,2607
2011-05-17,15056BL,2698,0,18,2607
2011-05-24,15056BL,2662,0,18,2607
2011-05-31,15056BL,2652,0,18,2607
2011-06-07,15056BL,2621,0,18,2607
2011-06-14,15056BL,2595,687,18,2607
2011-06-21,15056BL,2541,687,18,2607
2011-06-28,15056BL,3186,0,18,2607
2011-07-05,15056BL,3032,0,18,2607
2011-07-12,15056BL,3004,0,18,2607
2011-07-19,15056BL,2829,0,18,2607
2011-07-26,15056BL,2670,0,18,2607
2011-08-02,15056BL,2657,0,18,2607
2011-08-09,15056BL,2582,688,18,2607
2011-08-16,15056BL,2561,688,18,2607
2011-08-23,15056BL,3151,0,18,2607
2011-08-30,15056BL,3126,0,18,2607
2011-09-06,15056BL,3102,0,18,2607
2011-09-13,15056BL,2983,0,18,2607
2011-09-20,15056BL,2922,0,18,2607
2011-09-27,15056BL,2865,0,18,2607
2011-10-04,15056BL,2816,0,18,2607
2011-10-11,15056BL,2621,0,18,2607
2011-10-18,15056BL,2574,693,18,2607
2011-10-25,15056BL,2419,693,18,2607
2011-11-01,15056BL,2987,0,18,2607
2011-11-08,15056BL,2964,0,18,2607
2011-11-15,15056BL,2865,0,18,2607
2011-11-22,15056BL,2838,0,18,2607
2011-11-29,15056BL,2826,0,18,2607
2011-12-06,15056BL,2810,0,18,2607
2009-12-01,15056N,1614,852,18,2159
2009-12-08,15056N,804,1479,18,2159
2009-12-15,15056N,21,2351,18,2159
2009-12-22,15056N,1479,872,18,2159
2009-12-29,15056N,2351,0,18,2159
2010-01-05,15056N,2351,0,18,2159
2010-01-12,15056N,1740,726,18,2159
2010-01-19,15056N,1619,726,18,2159
2010-01-26,15056N,2309,0,18,2159
2010-02-02,15056N,2299,0,18,2159
2010-02-09,15056N,2296,0,18,2159
2010-02-16,15056N,2267,0,18,2159
2010-02-23,15056N,2243,0,18,2159
2010-03-02,15056N,1960,356,18,2159
2010-03-09,15056N,1725,664,18,2159
2010-03-16,15056N,1983,308,18,2159
2010-03-23,15056N,2275,0,18,2159
2010-03-30,15056N,2237,0,18,2159
2010-04-06,15056N,2211,0,18,2159
2010-04-13,15056N,1939,324,18,2159
2010-04-20,15056N,1864,324,18,2159
2010-04-27,15056N,1966,399,18,2159
2010-05-04,15056N,1902,399,18,2159
2010-05-11,15056N,2207,0,18,2159
2010-05-18,15056N,2124,320,18,2159
2010-05-25,15056N,1937,320,18,2159
2010-06-01,15056N,2221,0,18,2159
2010-06-08,15056N,1997,321,18,2159
2010-06-15,15056N,1843,321,18,2159
2010-06-22,15056N,2014,311,18,2159
2010-06-29,15056N,1911,311,18,2159
2010-07-06,15056N,1919,406,18,2159
2010-07-13,15056N,1811,406,18,2159
2010-07-20,15056N,1750,716,18,2159
2010-07-27,15056N,2088,310,18,2159
2010-08-03,15056N,2000,310,18,2159
2010-08-10,15056N,2275,0,18,2159
2010-08-17,15056N,2149,317,18,2159
2010-08-24,15056N,1976,317,18,2159
2010-08-31,15056N,1800,625,18,2159
2010-09-07,15056N,1920,308,18,2159
2010-09-14,15056N,2179,0,18,2159
2010-09-21,15056N,2083,350,18,2159
2010-09-28,15056N,2020,350,18,2159
2010-10-05,15056N,2281,0,18,2159
2010-10-12,15056N,2244,0,18,2159
2010-10-19,15056N,1940,526,18,2159
2010-10-26,15056N,1883,526,18,2159
2010-11-02,15056N,1847,526,18,2159
2010-11-09,15056N,2202,0,18,2159
2010-11-16,15056N,2106,338,18,2159
2010-11-23,15056N,2042,338,18,2159
2010-11-30,15056N,2233,0,18,2159
2010-12-07,15056N,2152,308,18,2159
2010-12-14,15056N,2133,308,18,2159
2010-12-21,15056N,2083,308,18,2159
2010-12-28,15056N,2389,0,18,2159
2011-01-04,15056N,2385,0,18,2159
2011-01-11,15056N,2352,0,18,2159
2011-01-18,15056N,2298,0,18,2159
2011-01-25,15056N,2276,0,18,2159
2011-02-01,15056N,2239,0,18,2159
